email_aluno,data_hora,duracao_min
ana.souza@gmail.com,06/01/2025 07:30,60
ana.souza@gmail.com,08/01/2025 07:15,55
ana.souza@gmail.com,10/01/2025 07:45,65
ana.souza@gmail.com,13/01/2025 07:30,60
ana.souza@gmail.com,15/01/2025 07:20,50
ana.souza@gmail.com,17/01/2025 07:40,70
ana.souza@gmail.com,20/01/2025 07:30,60
ana.souza@gmail.com,22/01/2025 07:10,55
bruno.lima@hotmail.com,13/01/2025 18:00,75
bruno.lima@hotmail.com,15/01/2025 18:30,80
bruno.lima@hotmail.com,17/01/2025 18:15,70
bruno.lima@hotmail.com,20/01/2025 18:00,75
bruno.lima@hotmail.com,22/01/2025 18:45,85
bruno.lima@hotmail.com,24/01/2025 18:30,70
camila.ferreira@gmail.com,21/01/2025 09:00,45
camila.ferreira@gmail.com,23/01/2025 09:15,50
camila.ferreira@gmail.com,28/01/2025 09:00,40
camila.ferreira@gmail.com,04/02/2025 09:30,45
camila.ferreira@gmail.com,18/02/2025 09:00,50
diego.rodrigues@outlook.com,04/02/2025 20:00,90
diego.rodrigues@outlook.com,06/02/2025 20:15,85
diego.rodrigues@outlook.com,10/02/2025 20:00,90
diego.rodrigues@outlook.com,12/02/2025 20:30,80
diego.rodrigues@outlook.com,14/02/2025 20:00,95
diego.rodrigues@outlook.com,17/02/2025 20:15,90
diego.rodrigues@outlook.com,19/02/2025 20:00,85
diego.rodrigues@outlook.com,21/02/2025 20:30,90
diego.rodrigues@outlook.com,24/02/2025 20:00,95
diego.rodrigues@outlook.com,26/02/2025 20:15,90
eduarda.oliveira@gmail.com,11/02/2025 06:30,40
eduarda.oliveira@gmail.com,13/02/2025 06:45,35
eduarda.oliveira@gmail.com,25/02/2025 06:30,40
felipe.costa@yahoo.com,19/02/2025 12:00,60
felipe.costa@yahoo.com,21/02/2025 12:15,55
felipe.costa@yahoo.com,24/02/2025 12:00,65
felipe.costa@yahoo.com,26/02/2025 12:30,60
felipe.costa@yahoo.com,28/02/2025 12:00,55
felipe.costa@yahoo.com,03/03/2025 12:15,60
gabi.rocha@gmail.com,26/02/2025 17:00,50
gabi.rocha@gmail.com,28/02/2025 17:30,45
gabi.rocha@gmail.com,03/03/2025 17:00,55
gabi.rocha@gmail.com,05/03/2025 17:15,50
gabi.rocha@gmail.com,07/03/2025 17:00,45
gabi.rocha@gmail.com,10/03/2025 17:30,50
gabi.rocha@gmail.com,12/03/2025 17:00,55
hugo.barbosa@hotmail.com,02/03/2025 08:00,70
hugo.barbosa@hotmail.com,04/03/2025 08:15,65
hugo.barbosa@hotmail.com,06/03/2025 08:00,75
hugo.barbosa@hotmail.com,10/03/2025 08:30,70
hugo.barbosa@hotmail.com,13/03/2025 08:00,65
isabela.mendes@gmail.com,10/03/2025 19:00,55
isabela.mendes@gmail.com,17/03/2025 19:15,50
joao.nunes@outlook.com,16/03/2025 10:00,80
joao.nunes@outlook.com,18/03/2025 10:15,75
joao.nunes@outlook.com,20/03/2025 10:00,85
joao.nunes@outlook.com,22/03/2025 10:30,80
joao.nunes@outlook.com,24/03/2025 10:00,75
joao.nunes@outlook.com,26/03/2025 10:15,80
karla.ribeiro@gmail.com,21/03/2025 16:00,45
karla.ribeiro@gmail.com,24/03/2025 16:30,50
karla.ribeiro@gmail.com,26/03/2025 16:00,40
karla.ribeiro@gmail.com,28/03/2025 16:15,45
lucas.monteiro@hotmail.com,29/03/2025 07:00,60
carlos.fonseca@yahoo.com,20/08/2024 19:00,70
carlos.fonseca@yahoo.com,25/08/2024 19:30,65
carlos.fonseca@yahoo.com,10/09/2024 19:00,60
daniela.cunha@gmail.com,25/07/2024 08:00,50
daniela.cunha@gmail.com,01/08/2024 08:15,45
daniela.cunha@gmail.com,15/08/2024 08:00,40
daniela.cunha@gmail.com,10/09/2024 08:30,50
daniela.cunha@gmail.com,01/10/2024 08:00,45
daniela.cunha@gmail.com,20/10/2024 08:15,50
erick.sampaio@hotmail.com,12/09/2024 20:00,90
erick.sampaio@hotmail.com,15/09/2024 20:15,85
fernanda.bastos@gmail.com,10/06/2024 17:00,40
fernanda.bastos@gmail.com,20/06/2024 17:30,35
gabriel.matos@outlook.com,16/10/2024 12:00,55
gabriel.matos@outlook.com,23/10/2024 12:15,50
gabriel.matos@outlook.com,30/10/2024 12:00,60
gabriel.matos@outlook.com,06/11/2024 12:30,55
