nome,email,telefone,matricula_em,cancelamento_em
Ana Carolina Souza,ana.souza@gmail.com,11987654321,05/01/2025,
Bruno Henrique Lima,bruno.lima@hotmail.com,11976543210,12/01/2025,
Camila Ferreira dos Santos,camila.ferreira@gmail.com,21965432109,20/01/2025,
Diego Alves Rodrigues,diego.rodrigues@outlook.com,11954321098,03/02/2025,
Eduarda Martins Oliveira,eduarda.oliveira@gmail.com,31943210987,10/02/2025,
Felipe Costa Nascimento,felipe.costa@yahoo.com,11932109876,18/02/2025,
Gabriela Rocha Pereira,gabi.rocha@gmail.com,21921098765,25/02/2025,
Hugo Barbosa Teixeira,hugo.barbosa@hotmail.com,11910987654,01/03/2025,
Isabela Cardoso Mendes,isabela.mendes@gmail.com,41909876543,08/03/2025,
João Pedro Silva Nunes,joao.nunes@outlook.com,11998765432,15/03/2025,
Karla Ribeiro Araujo,karla.ribeiro@gmail.com,21987654321,20/03/2025,
Lucas Gomes Monteiro,lucas.monteiro@hotmail.com,11976543219,28/03/2025,
Mariana Dias Correia,mariana.dias@gmail.com,31965432198,02/04/2025,
Nathan Vieira de Paula,nathan.vieira@outlook.com,11954321987,10/04/2025,
Olivia Santos Machado,olivia.machado@gmail.com,21943219876,15/04/2025,
Pedro Henrique Azevedo,pedro.azevedo@yahoo.com,11932198765,22/04/2025,
Rafaela Moreira Castro,rafaela.castro@gmail.com,41921987654,01/05/2025,
Thiago Fernandes Lima,thiago.fernandes@hotmail.com,11910876543,08/05/2025,
Valentina Pinto Ramos,valentina.ramos@gmail.com,21909865432,15/05/2025,
William Carvalho Duarte,william.duarte@outlook.com,11998754321,20/05/2025,
Yasmin Freitas Lopes,yasmin.lopes@gmail.com,31987643210,25/05/2025,
Rafael Moura Costa,rafael.moura@hotmail.com,11976532109,01/06/2025,
Leticia Borges Campos,leticia.borges@gmail.com,21965421098,05/06/2025,
Gustavo Nogueira Braga,gustavo.braga@outlook.com,11954310987,10/06/2025,
Amanda Pires Rezende,amanda.rezende@gmail.com,41943209876,15/06/2025,
Carlos Eduardo Fonseca,carlos.fonseca@yahoo.com,11932108765,18/08/2024,15/01/2025
Daniela Cunha Amorim,daniela.cunha@gmail.com,21921097654,22/07/2024,28/02/2025
Erick Sampaio Viana,erick.sampaio@hotmail.com,11910986543,10/09/2024,10/03/2025
Fernanda Bastos Medeiros,fernanda.bastos@gmail.com,31909875432,05/06/2024,20/12/2024
Gabriel Matos Silveira,gabriel.matos@outlook.com,11998643210,14/10/2024,25/01/2025
