email_aluno,vencimento,pago_em,valor,status
ana.souza@gmail.com,10/01/2025,08/01/2025,149.90,pago
ana.souza@gmail.com,10/02/2025,09/02/2025,149.90,pago
ana.souza@gmail.com,10/03/2025,10/03/2025,149.90,pago
bruno.lima@hotmail.com,15/01/2025,14/01/2025,199.90,pago
bruno.lima@hotmail.com,15/02/2025,15/02/2025,199.90,pago
bruno.lima@hotmail.com,15/03/2025,14/03/2025,199.90,pago
camila.ferreira@gmail.com,25/01/2025,24/01/2025,129.90,pago
camila.ferreira@gmail.com,25/02/2025,28/02/2025,129.90,pago
camila.ferreira@gmail.com,25/03/2025,,129.90,atrasado
diego.rodrigues@outlook.com,10/02/2025,08/02/2025,249.90,pago
diego.rodrigues@outlook.com,10/03/2025,09/03/2025,249.90,pago
eduarda.oliveira@gmail.com,15/02/2025,14/02/2025,149.90,pago
eduarda.oliveira@gmail.com,15/03/2025,,149.90,atrasado
felipe.costa@yahoo.com,20/02/2025,19/02/2025,179.90,pago
felipe.costa@yahoo.com,20/03/2025,20/03/2025,179.90,pago
gabi.rocha@gmail.com,01/03/2025,28/02/2025,149.90,pago
hugo.barbosa@hotmail.com,05/03/2025,04/03/2025,199.90,pago
isabela.mendes@gmail.com,10/03/2025,10/03/2025,129.90,pago
joao.nunes@outlook.com,20/03/2025,18/03/2025,179.90,pago
karla.ribeiro@gmail.com,25/03/2025,24/03/2025,149.90,pago
lucas.monteiro@hotmail.com,01/04/2025,,199.90,pendente
mariana.dias@gmail.com,05/04/2025,,149.90,pendente
nathan.vieira@outlook.com,15/04/2025,,179.90,pendente
olivia.machado@gmail.com,20/04/2025,,129.90,pendente
pedro.azevedo@yahoo.com,25/04/2025,,199.90,pendente
rafaela.castro@gmail.com,05/05/2025,,149.90,pendente
thiago.fernandes@hotmail.com,10/05/2025,,179.90,pendente
valentina.ramos@gmail.com,20/05/2025,,149.90,pendente
william.duarte@outlook.com,25/05/2025,,199.90,pendente
yasmin.lopes@gmail.com,01/06/2025,,129.90,pendente
carlos.fonseca@yahoo.com,20/08/2024,19/08/2024,149.90,pago
carlos.fonseca@yahoo.com,20/09/2024,22/09/2024,149.90,pago
carlos.fonseca@yahoo.com,20/10/2024,,149.90,atrasado
carlos.fonseca@yahoo.com,20/11/2024,,149.90,cancelado
daniela.cunha@gmail.com,25/07/2024,24/07/2024,129.90,pago
daniela.cunha@gmail.com,25/08/2024,25/08/2024,129.90,pago
daniela.cunha@gmail.com,25/09/2024,28/09/2024,129.90,pago
daniela.cunha@gmail.com,25/10/2024,30/10/2024,129.90,pago
daniela.cunha@gmail.com,25/11/2024,,129.90,atrasado
daniela.cunha@gmail.com,25/12/2024,,129.90,cancelado
erick.sampaio@hotmail.com,15/09/2024,14/09/2024,199.90,pago
erick.sampaio@hotmail.com,15/10/2024,,199.90,atrasado
erick.sampaio@hotmail.com,15/11/2024,,199.90,cancelado
fernanda.bastos@gmail.com,10/06/2024,09/06/2024,99.90,pago
fernanda.bastos@gmail.com,10/07/2024,,99.90,atrasado
fernanda.bastos@gmail.com,10/08/2024,,99.90,cancelado
gabriel.matos@outlook.com,20/10/2024,18/10/2024,179.90,pago
gabriel.matos@outlook.com,20/11/2024,22/11/2024,179.90,pago
gabriel.matos@outlook.com,20/12/2024,,179.90,atrasado
gabriel.matos@outlook.com,20/01/2025,,179.90,cancelado
